review_text,sentiment_score,polarity,snownlp,polarity_snow_nlp
"特别 赞 一家 商场 王府井 商场 云集 大牌 云集 地方 apm 商场 算是 人气 特别 高 交通 地铁 号线 金鱼胡同 地铁口 交通 便利 环境 商场 特别 收拾 很 干净 吃喝 完 种类 特别 全 正好 画展 很 有意思 还 画展 逛 一圈 很 不错 逛逛 地方 正 带 好 地方
",18.25,P,0.999999999940484,P
"LINLEE 王府井 apm 开 新店 超级 喜欢 家 口味 朋友 逛街 无意 果断 买 一杯 推荐 他家 泰绿手 柠檬茶 手 柠檬茶 喜欢 喝酸 一点 特浓手 柠檬茶 推荐 三分 甜 感觉 酸涩 度 刚刚 好 夏天 喝 柠檬茶 解渴 还 补充 维 C 一杯 元气 满满 超赞 小鸭子 送 太 可爱
",10.3,P,0.9999999996728852,P
"北京 apm 东城区 商场 热门 榜 第一名 ️ 王府井大街 号 环境 商场 环境 干净 整齐 布局 分明 美食 购物 ️ 丽人 汽车 一体 坐落于 王府井大街 一层 一层 特色 必 吃 小大董 捞 王锅物 料理 楼全 美食 麻 六记 局气
",4.0,P,0.9999689233602319,P
"错过 下午 点半 吃饭 只能 排队 半个 小时 拿到 号 别 十几桌 走开 过 号 好久
",0.0,I,0.016098819286345045,N
"花 Young 年华 年 ️ 日 月 日 北京 apm 首层 中庭 迎来 位 艺术家 作品 联展 春意盎然 ️ 开启 一场 自由 多元 充 想象力 艺术 之旅 寻觅 春日 温暖 浪漫 这样 走进 春天
",7.0,P,0.9999908742022454,P
"座位 没有 想 坐下 休息 地方 没有 逛累 顾客 滚蛋
",-2.0,N,0.6553176472761736,P
"打卡 北京 apm 中庭 花 young 春日 艺术展 一些 纸花 一些 艺术家 画 一些 假花 别 细看 拍个 打个 卡 挺 好 面积 不 十分钟
",2.6,P,0.934878975351502,P
"整体 感觉 很 繁华 位于 王府井大街 连锁 品牌
",1.5,P,0.9418285917271861,P
"APM 艺术展 太 好看 逛街 发现 一层 中庭 艺术展 颜色 鲜艳 花卉 主题 好多 小朋友 抢 拍照 适合 遛 娃 主题 偏 青春 洋溢 环保 材质 制作 花朵 很 逼真 商场 增添 不少 色彩 APM 很 好 逛 不会 过度 奢侈 适合 年轻人 吃喝玩乐 解决 美妆 运动 品牌 最 爱 六层 美食 很 不错 北京 apm
",15.3,P,0.9999999999997953,P
"周末 出门 吃饭 路过 商场 打造 春日 花园 惊喜 然 女孩 不安 世界 里 安静 地活 世界 不安 只须 不 害怕 不 害怕 差异 不 害怕 敌意 不 害怕 孤独 不 害怕 不 害怕 变化 不 害怕 嘈杂 不 害怕 专注
",12.0,P,0.9999929465284474,P
"北京 apm 王府井大街 旁 商场 贴近 地铁站 交通 很 店内 品牌 综合体 mall 店内 一些 美食 咖啡馆 子 服装店 走 王府井 逛逛 咯 内饰 设计 很 洋气 符合 审美
",1.5,P,0.9994605408726743,P
"客流量 不是 很大 宜家 商场 买 东西 挺 不像 合生汇 商场 那么 拥挤 那么 吵杂 总体 购物 感 不错 打折 力度 还 一层 泡泡玛特 店 挺 好多 好玩 东西 苹果 店人 少 还会 玩
",-2.0,N,0.9984155893425258,P
"一家 商场 特别 不错 交通 很 便利 地铁口 商场 地上 有层 地下 两层 算是 王府井 逛街 首选 商场 东西 齐全 吃 选择 多 商场 偏 年轻化 一点 月 主题 活动 特别 有意思 月 春天 主题 画展 围观 拍照 特别 热闹
",4.2,P,0.9999999999894142,P
"位于 北京 长安街 王府井 步行街 很 有名 地标 建筑物 很 高端 商场 牌子 挺 多 一层 有个 苹果 体验 店 阿迪达斯 三层 旗舰店 奢侈品 大众 爱 逛 买 亲民 品牌 商场 好吃 美食 马路 对面 王府井 百货大楼 王府井 美食街 推荐 天好 点 逛逛
",7.0,P,0.9999782128855406,P
"前身 新东安市场 国际 接轨 改头换面 英文名 面积 够 品牌 够 多 大部分 北京 旅游 外地 游客 光顾 商场 各楼层 层次分明 导航 随处可见 商场 活动 不多及 优惠 力度 不 不 吸引 老百姓 办 会员 光顾
",2.0,P,0.8682119907768159,P
"贝克 街 亡灵 打卡 影院 很 好找 座椅 很 舒服 音效 很棒 晚上 六点 多 场 人不多 影院 哥哥 小姐姐 服务态度 很 好 观影 效果 很 不错 屏幕 很 清晰 买 按摩 座椅 位置 还 免费 充电 店 位置 很 好找 值得 推荐
",14.3,P,0.9999999889058951,P
"特别 喜欢 商场 王府井 云集 老板 商场 这家 商场 算是 特别 活力 环境 不错 空间 很大 里边 吃喝玩乐 一体 逛街 吃饭 首选 大牌 连锁 网红 餐厅 未味 人气 很 高 逛街 主打 热情 闹 没什么 人群 气逛 没什么 推荐 推荐
",9.5,P,0.9999999990559696,P
"商场 地理位置 北京 最 核心 地段 聚集 知名品牌 二楼 最爱 逛 UR 装修 CK 一站式 购物 不要 太 周边 地铁 美食 汇集 非常 好 逛 每周 家人 购物 特别
",6.0,P,0.9999997914196026,P
"好吃 好 逛 逛街 首选 吃 逛 玩 电影
",1.0,P,0.9992336518766157,P
"商场 整体 环境 还 行 有点 闷 月份 很 热 吃 饭 热 不行
",1.02,P,0.3074879020947484,N
"王府井 热门 榜 第一 商场 众多 王府井 商场 里 热门 棒 第一 独到 之处 商场 很大 售卖 东西 不 人门 逛商场 不 买 东西 更 多 逛逛 吃饭 网红 餐厅 品牌 吸引 人来 交通 便利 地铁 商场 一点 很 月 主题 活动 月 春天 主题 画展 很 有意思
",6.0,P,0.9999999999771314,P
"商场 太差 吃个 饭 蒸 桑拿 吃完饭 衣服 湿透 商场 空调 不 舍得 开 垃圾 透顶
",1.0,P,0.0011983462812453771,N
"每次 吃 下层 豆号 家 冰淇淋
",0.0,I,0.6271039054091812,P
"位于 王府井 步行街 apm 喜欢 一家 商场 老 东安市场
",2.0,P,0.9737101053850263,P
"北京 APM 王府井大街 商场 北京 后刚 王府井大街 很 热闹 谢谢 感觉 商场 很 出名 面积 倒 不大 周末 不 戴 口罩 特色 楼顶 设计 买 服装 吃饭 不错 地方
",5.0,P,0.9999321630682041,P
"陪 朋友 拉 apm 画展 地铁 号线 金鱼胡同 站 交通 便利 特别 画展 不大 一层 中庭 展览 位置 特别 醒目 画展 不大 很 有意思 有位 画家 花 展出 色彩 分明 画作 摆放 花卉 场景 里 感受 春意盎然 朋友 逛 一圈 跑 楼 小吃 开心 吃 带来 快乐
",9.25,P,0.9999999961308708,P
"朋友 apm 吃饭 选 顺福记 茶楼 港澳 点心 很 适合 吃 聊天 整体 味道 很 不错 凤爪 很 不错 烧麦 超级 好吃 太 喜欢 糯 叽叽 整体 性价比 很 高 吃饭 逛 逛 电梯 转 还 美术 展 满满 春天 气息
",11.5,P,0.9999999592331025,P
"好久 没有 apm 商城 逛 正好 约 朋友 apm 不亏 王府井 人气 王 人气 依旧 那么 旺 环境 很 不错 商城 地下 有层 底 有层 特别 喜欢 上边 两层 吃饭 地方 两层 月 画展 活动 很 不错 一顿 卡卡 拍照 很 不错 依旧 特别 喜欢 商场 王府井 商场
",13.7,P,0.9999883652205208,P
"走出 地铁口 通向 北京 apm 王府井 区域 综合性 商场 一楼 珠宝 化妆品 二楼 三楼 衣服 四楼 奶茶 店 吃 店 王府井 商场 扎堆 地方 选择 很 热闹 挺 好 商场 地下 三楼 厉害
",2.1,P,0.9937941345322178,P
"apm 算是 王府井 新潮 亲民 商场 商场 很大 装修 不错 每层 值得 一逛 店铺 阳光 顶棚 洒 商场 光线 充足 拍 光影 效果 很棒 相较 王府中环 消费水平 没 那么 高 老百姓 逛 没 负担 吃饭 楼层 楼层 不是 特别 多 尤其 白天 还 挺 清净 适合 慢慢 逛一逛
",6.08,P,0.9999997349213429,P
"apm 吃饭 地方 多 约 朋友 聚会 火 炉火 外婆家 捞 王锅物 料理 鹿港 小镇 港丽 餐厅 两年 疫情 少 适合 逛街 吃饭 购物 非常 不错 东门 拍 几张 照片 抓拍 一只 蝴蝶
",2.2,P,0.9997634345425905,P
"商场 热 要死 吃个 饭出 一身 汗 夏天 不 开 空调 汗 体验 极差
",1.0,P,0.006216398970210313,N
"特别 不错 商场 公司 同事 吃饭 逛街 约 东西 很全 吃喝玩乐 一体 还 春天 主题 画展 画 画 很 很 不错 喝 朋友 逛 逛 吃饭 说 apm 人气 真的 旺 吃饭 地方 拍排 不过 他家 吃 种类 真的 很 全 符合 大部分 胃
",5.75,P,0.9999998528294921,P
"无意间 展 还 不错 地点 apm 门口 苹果 店 外面 服务台 路过 停下来 发现 惊喜 展览 面积 不 花 画 艺术 气质 满满 感觉 清新 人不多 区域 转 一圈 完 apm 有些 展览 主题 活动 确实 赞
",5.0,P,0.9999624066570851,P
"没有 休息 位 一度 王府井 爱 商场 年轻 活力 活力 太过 太 年轻 太有 精力 休息 座位 不 几次 还 没 意识 带 阿姨 逛街 大片 区域 休息 位置 没有 饮品 店 爆满 完 喝 走 没 位置 休息 差评 希望 早点 改进 嗷嗷 嗷嗷 年轻人 逛逛 时间 长 点儿 吃饭 还 年纪 点儿 真受不了 不安 椅子 难以 理解 apm 操作 whywhywhy з ∠
",7.5,P,0.9967456625831266,P
"北京 北京 apm 位于 北京市 东城区 王府井大街 号 地下 地铁站 地面 公交站 北京 apm 含义 apm 意 早上 pm 晚上 意味着 北京 吸引 年轻 消费者 消费 增加 夜店 消费 比重 延长 apm 时间
",1.0,P,0.12298050397610294,N
"完展 转一转 中午 原因 店里 就餐 商场 里 店铺 没有 显得 不像 以往 那样 拥挤 优衣库 新款 很 喜欢 赶着 更衣室 排队 人不多 挑 喜欢 试穿 今天天气 不错 apm 教堂 吸引 不少 新 拍 婚纱照
",8.3,P,0.9784053504988364,P
