review,review_splitting,senti_score,polarity,senti_score_snownlp,polarity_snownlp
"王府中環正在搞甜品节,买了这个最贵的套餐,里面有芝乐坊蛋糕,闪电泡芙,文华饼店的磅蛋糕,山河万朵新出的无糖素食,cafelandmark盲盒和座银新出的芭菲杯,六个甜品几乎都是商场的网红独家,今天是老爹岁生日,提前定了文华的这只草莓酸奶蛋糕,原价,然后这个套餐一共,总体价格还是优惠挺多的,芝乐坊的一块蛋糕也要,对于我这个在王府井上班的人来说简直是天大的福利,因为还买了另外一饮料包的套餐,一共有是杯,咖啡,牛茶,椰子水和袍公馆的手打泰柠,所以最贵的套餐里送的野餐篮加上闪电泡芙,一杯西班牙拿铁出去西边草堂装也是别有一番风味哦",王府中環 搞 甜品 节 买 最贵 套餐 芝乐坊 蛋糕 闪电 泡 芙 文华 饼店 磅 蛋糕 山河万朵 新出 无糖 素食 cafelandmark 盲盒 座银 新出 芭菲杯 六个 甜品 商场 网红 独家 老爹 岁 生日 提前 定 文华 草莓 酸奶 蛋糕 原价 套餐 一共 总体 价格 优惠 挺 多 芝乐坊 一块 蛋糕 王府井 上班 天大 福利 还 买 饮料 包 套餐 一共 杯 咖啡 牛茶 椰子水 袍 公馆 手 打泰柠 最贵 套餐 里 送 野餐 篮 闪电 泡 芙 一杯 西班牙 铁 西边 草堂 装 别 风味,4.0,P,0.9999999998211706,P
"王府中環位置优越高端大气上档次的购物中心它是香港置地在北京打造的首个时尚高端生活中心,尊踞首都商业与政治核心地带,其设计与规模均巧妙融合了王府井地区的历史底蕴与精粹,坐拥北京东城区王府井商业街近两万一千平方米的黄金地段,王府中環傲呈四万三平方米的零售空间及配有七十三个房间的文华东方酒店,建筑总面积达十五万平方米",王府中環 位置 优越 高端 大气 上档次 购物中心 香港 置 北京 打造 首个 时尚 高端 生活 中心 尊踞 首都 商业 政治 核心 地带 设计 规模 均 巧妙 融合 王府井 地区 历史 底蕴 精粹 坐拥 北京 东城区 王府井 商业街 近 两 千平方米 黄金地段 王府中環 傲 呈 三平方米 零售 空间 配有 三个 房间 文华 东方 酒店 建筑 总面积 达 万平方米,9.0,P,0.9999999999999964,P
"王府中环地下最近有展览,在停车场那里,不是很大型很多,但很有趣,免费的有工作人员在里面看管,不让触摸,时不时的有年轻人三五成群特意来拍照片,分几个主题,环绕停车场,最后是壁画,都很有寓意很立体,大家路过可以来看看,看完还能去楼上的草坪晒晒太阳",王府中环 地下 展览 停车场 不是 很 大型 很 有趣 免费 工作人员 看管 不让 触摸 时不时 年轻人 三五成群 特意 拍照片 分 几个 主题 环绕 停车场 壁画 很 寓意 很 立体 路过 完 还 楼上 草坪 晒 晒太阳,5.75,P,0.9999944551016816,P
"工作日最喜欢来这里啦,环境好人少不嘈杂,餐厅也多,周末不能来,人满为患,平时在这里边喝咖啡边办公,很惬意,每次必点椰子水,旁边的日本拉面也非常好吃,再旁边的韩式烧烤每次来也是必排队等位,里面的餐厅基本都打卡啦,复合大众口味",工作日 最 喜欢 环境 好人 少 不 嘈杂 餐厅 多 周末 不能 人满为患 平时 喝咖啡 办公 很 惬意 每次 必点 椰子水 旁边 日本 拉面 非常 好吃 旁边 韩式 烧烤 每次 必 排队 等位 餐厅 打卡 复合 大众 口味,9.0,P,0.9952680133091052,P
"很好逛的商场,底下车位也很充足,服务好,商家品质都很高",很 好 逛 商场 底下 车位 很 充足 服务 好 商家 品质 很 高,9.0,P,0.9870138486038902,P
"位置优秀,从来不用担心车没地方停,虽然收费贵点儿,地下停车场设计的很好,停车极其方便,楼内基础设施完善,逛起来很舒服,好评点赞",位置 优秀 从来不 担心 车 没 地方 停 收费 贵 点儿 地下 停车场 设计 很 好 停车 极其 楼 基础设施 完善 逛起来 很 舒服 好评 点赞,11.0,P,0.9918529864051908,P
"今天打卡王府中环闪电巴黎店,点了一份皇后披萨,一杯拿铁,服务员非常热情,造型可爱拉花挺好的咖啡不错披萨薄皮的还不错泡芙样子可爱精致有时间会再次打卡的",打卡 王府中环 闪电巴黎 店 点 一份 皇后 披萨 一杯 铁 服务员 非常 热情 造型 可爱 拉花 挺 好 咖啡 不错 披萨 薄皮 还 不错 泡 芙 样子 可爱 精致 时间 打卡,10.2,P,0.9999999067192008,P
"展览,DROPOFF空间,营业时间,位置,王府中环商场西座B层停车场,西座,不是东,门票,免费,免费,免费,穿黑色的衣服或者美式复古的更加出片哦,某书说这是,北京最出片的停车场",展览 DROPOFF 空间 营业时间 位置 王府中环 商场 西座 B 层 停车场 西座 不是 东 门票 免费 免费 免费 穿 黑色 衣服 美式 复古 更加 出片 某书 说 北京 最 出片 停车场,-1.4,N,0.9410306568828254,P
王府井中环一共两栋楼楼里面有连接的部分外面需要过个小马路位置在王府井百货大楼南侧路西中国照相馆斜对面东座较大西座稍小服务挺好的路过可以进来逛逛空间较大空旷西座南面广场有樱花两排比较漂亮淡淡花香人挺多的,王府井 中环 一共 两栋 楼楼 连接 外面 过个 小马路 位置 王府井 百货大楼 南侧 路西 中国 照相馆 斜对面 东座 较大 西座 稍 服务 挺 好 路过 逛逛 空间 较大 空旷 西座 南面 广场 樱花 两排 漂亮 淡淡 花香 挺 多,1.28,P,0.9998070859030818,P
"这家购物中心位于王府井步行街,是一家高端的购物中心,环境舒适,设施齐备,奢侈品牌云集,就连卫生间都很豪华",这家 购物中心 位于 王府井 步行街 一家 高端 购物中心 环境 舒适 设施 齐备 奢侈 品牌 云集 卫生间 很 豪华,3.5,P,0.9965934330662828,P
