review,review_splitting,senti_score,polarity,senti_score_snownlp,polarity_snownlp
"特别赞的一家商场,在王府井这个商场云集和大牌云集的地方,apm商场算是人气特别高的了,交通,地铁号线金鱼胡同地铁口,交通便利,环境,整个商场特别收拾的很干净而且吃喝完了种类特别的全,这次来正好看到有画展,很有意思还在画展逛了一圈的,很不错,就逛逛别的地方,这里正的是可以让你带一天的好地方","特别 赞 一家 商场 王府井 商场 云集 大牌 云集 地方 apm 商场 算是 人气 特别 高 交通 地铁 号线 金鱼胡同 地铁口 交通 便利 环境 商场 特别 收拾 很 干净 吃喝 完 种类 特别 全 正好 画展 很 有意思 还 画展 逛 一圈 很 不错 逛逛 地方 正 带 好 地方
",18.25,P,0.999999999940484,P
"LINLEE在王府井apm也开新店了,超级喜欢他们家的口味,和朋友逛街无意看到的,果断去买一杯比较推荐他家的泰绿手打柠檬茶和手打柠檬茶,如果喜欢喝酸一点的是特浓手打柠檬茶,个人推荐三分甜,感觉酸涩度刚刚的好,夏天了,喝柠檬茶解渴而且还补充维C,来一杯,元气满满,超赞而且还有小鸭子送,太可爱了","LINLEE 王府井 apm 开 新店 超级 喜欢 家 口味 朋友 逛街 无意 果断 买 一杯 推荐 他家 泰绿手 柠檬茶 手 柠檬茶 喜欢 喝酸 一点 特浓手 柠檬茶 推荐 三分 甜 感觉 酸涩 度 刚刚 好 夏天 喝 柠檬茶 解渴 还 补充 维 C 一杯 元气 满满 超赞 小鸭子 送 太 可爱
",10.3,P,0.9999999996728852,P
"北京apm,东城区商场热门榜第一名️,王府井大街号,环境,商场环境干净整齐,布局分明,美食购物️丽人,汽车为一体,坐落于王府井大街,每一层都有每一层的特色,其中就有必吃的小大董,还有捞王锅物料理,楼全是美食,麻六记,局气","北京 apm 东城区 商场 热门 榜 第一名 ️ 王府井大街 号 环境 商场 环境 干净 整齐 布局 分明 美食 购物 ️ 丽人 汽车 一体 坐落于 王府井大街 一层 一层 特色 必 吃 小大董 捞 王锅物 料理 楼全 美食 麻 六记 局气
",4.0,P,0.999968923360232,P
"一定要错过下午点半以后,不然吃饭只能排队等半个小时,而且拿到号了一定别因为还有十几桌就走开,不然过号了再等的时候要好久","错过 下午 点半 吃饭 只能 排队 半个 小时 拿到 号 别 十几桌 走开 过 号 好久
",0.0,I,0.016098819286345,N
"花,Young的年华,年️日,月日,北京apm首层中庭,迎来位艺术家作品联展,春意盎然的️,开启一场自由,多元,充想象力的艺术之旅,寻觅春日的温暖与浪漫,让我们就这样地走进春天吧","花 Young 年华 年 ️ 日 月 日 北京 apm 首层 中庭 迎来 位 艺术家 作品 联展 春意盎然 ️ 开启 一场 自由 多元 充 想象力 艺术 之旅 寻觅 春日 温暖 浪漫 这样 走进 春天
",7.0,P,0.9999908742022454,P
一个座位都没有想坐下休息会的地方都没有逛累了直接让顾客滚蛋呗,"座位 没有 想 坐下 休息 地方 没有 逛累 顾客 滚蛋
",-2.0,N,0.6553176472761736,P
"打卡北京apm中庭的花young春日艺术展,一些纸花,一些艺术家的画,还有一些假花,别细看,拍个照打个卡还是挺好的,面积不大,十分钟都用不了","打卡 北京 apm 中庭 花 young 春日 艺术展 一些 纸花 一些 艺术家 画 一些 假花 别 细看 拍个 打个 卡 挺 好 面积 不 十分钟
",2.6,P,0.934878975351502,P
"整体给人的感觉很繁华,位于王府井大街,里面基本上都是连锁品牌","整体 感觉 很 繁华 位于 王府井大街 连锁 品牌
",1.5,P,0.941828591727186,P
"APM艺术展也太好看了吧,来逛街发现一层中庭有艺术展,颜色鲜艳的花卉主题,好多小朋友都抢着拍照,适合遛娃,主题偏青春洋溢,环保材质制作的花朵,很逼真,给商场增添了不少色彩,APM主要是很好逛,不会过度奢侈,适合年轻人,吃喝玩乐都可以在这里解决,美妆和运动品牌是我的最爱,六层美食也很不错,北京apm","APM 艺术展 太 好看 逛街 发现 一层 中庭 艺术展 颜色 鲜艳 花卉 主题 好多 小朋友 抢 拍照 适合 遛 娃 主题 偏 青春 洋溢 环保 材质 制作 花朵 很 逼真 商场 增添 不少 色彩 APM 很 好 逛 不会 过度 奢侈 适合 年轻人 吃喝玩乐 解决 美妆 运动 品牌 最 爱 六层 美食 很 不错 北京 apm
",15.3,P,0.9999999999997952,P
"周末出门吃饭路过商场,被这个打造的春日小花园惊喜到,然女孩,在不安的世界里,安静地活,无论世界如何不安,我们只须做到,不害怕,不害怕差异,不害怕敌意,不害怕孤独,不害怕失去,不害怕变化,不害怕嘈杂,因为不害怕,所以专注","周末 出门 吃饭 路过 商场 打造 春日 花园 惊喜 然 女孩 不安 世界 里 安静 地活 世界 不安 只须 不 害怕 不 害怕 差异 不 害怕 敌意 不 害怕 孤独 不 害怕 不 害怕 变化 不 害怕 嘈杂 不 害怕 专注
",12.0,P,0.9999929465284474,P
