review,review_splitting,senti_score,polarity,senti_score_snownlp,polarity_snownlp
"服装店挺多牌子的,走起来挺远的,商场很大,停车可以用积分,现在餐饮选择比之前多了,吃拉面可以去一风堂,还有烤肉店和汤城小厨,多少都能选一选想吃的,饮品的话有牛茶和快乐柠檬我觉得不错,地下就是地铁站,挺方便的",服装店 挺 多 牌子 走 挺远 商场 很大 停车 积分 餐饮 选择 多 吃 拉面 一风堂 烤肉店 汤城 小厨 选一选 想 吃 饮品 牛 茶 快乐 柠檬 不错 地下 地铁站 挺,3.0,P,0.999993711753213,P
"东单来过好多次,都是晚上来看话剧,看完就回去,这次是下午看话剧,出来顺便逛了一下东方新天地,商场很大,购物环境好,服务态度非常好,好久没逛过了,争取今天有收获,享受一下购物购物乐趣哈里面分了区,得逛一阵,期待",东单 过 好 晚上 话剧 完 回去 下午 话剧 顺便 逛 东方新天地 商场 很大 购物 环境 好 服务态度 非常 好 好久没 逛过 收获 享受 购物 购物 乐趣 分 区 逛 一阵 期待,15.6,P,0.9999999941680188,P
"好久都没来东方新天地了,早些年时候这里曾经是最爱逛街的地方,好吃的好玩儿的新鲜有趣的都集中在这里,紧邻着长安街,从东单到王府井,整个一大片都是东方广场,每到有重要活动,这里就变得比较敏感,随着其他商业的崛起,后来就不太来这里了,再次踏进东方新天地,还是曾经的样子,只是没有了过去的心情",好久 没来 东方新天地 早些 年 最 爱 逛街 地方 好吃 好玩儿 新鲜 有趣 紧邻着 长安街 东单 王府井 大片 东方广场 每到 活动 变得 敏感 商业 崛起 不太来 踏进 东方新天地 样子 没有 心情,8.0,P,0.999790272661684,P
"越来品牌越多,受众群体也广,最重要的更新迭代也很给力的",越 品牌 越 多 受众 群体 广 最 更新 迭代 很 力,0.0,I,0.9630180445400386,P
"店铺不多,吃的也不多,附近逛街不如apm",店铺 不 多 吃 不 多 逛街 不如 apm,0.0,I,0.4121178498530887,I
"东方新天地这个商场也太大了吧,而且是我见过卖汽车最多的一个商场,各类服装大牌云集这里,还有餐饮,娱乐,休闲等配套设施,假如你逛王府井步行街累了,可以进来休闲小憩一下,地铁号线,号线王府井站A口出可以直接进入商场,开车的朋友直接停地下,收费标准为前分钟元,分钟后,元,分钟,假如你是商场会员,会员积分还可以兑换免费停车券哦,点后进场免费停车",东方新天地 商场 太大 见 过 卖 汽车 最多 商场 各类 服装 大牌 云集 餐饮 娱乐 休闲 配套 设施 逛 王府井 步行街 累 休闲 小憩 地铁 号线 号线 王府井 站 A 口出 商场 开车 朋友 停 地下 收费 标准 前 分钟 元 分钟 元 分钟 商场 会员 会员 积分 还 兑换 免费 停车 券 点后 进场 免费 停车,2.8,P,0.892244105618081,P
"来这边和朋友吃饭,实在是找不到他这个布局,而且这个指示牌也还非常的模糊,真的是对于路痴来说太难了,跟着导航走还导航不对,整个人都要崩溃了,所以说我绕着商场走了两圈,也没有找到从外面绕了半圈,也没有找到,实在是无语死",朋友 吃饭 实在 找 不到 布局 指示牌 还 非常 模糊 真的 路痴 太难 跟着 导航 走 还 导航 不 崩溃 说 绕 商场 走 两圈 没有 找到 外面 绕 半圈 没有 找到 实在 无语 死,1.2,P,0.0004061526094423,N
"这次看到这么多车的店铺,就是从东到西每次都走不全,很多咖啡店,累了可以坐下来休息,新开的集结号美食街区,丰俭由己",多车 店铺 是从 东到 西 每次 走 不全 咖啡店 累 坐下 休息 新开 集结 号 美食街 区 丰俭 由己,1.0,P,0.909706788348822,P
"前两天来东方新天地吃饭,在这儿的B层有好多吃饭的,还有一个美食城,各种好吃的随便选,但是它下边的餐厅真的是好绕啊,特别的不好找,找了半天才找到要去吃饭的地方,它这直通地铁特别的方便,楼上卖衣服的各种品牌还挺多的,吃完饭可以逛一逛",前两天 东方新天地 吃饭 B 层有 好多 吃饭 美食城 好吃 随便 选 下边 餐厅 真的 好 绕 特别 不好 找 找 半天 找到 吃饭 地方 直通 地铁 特别 楼上 卖 衣服 品牌 还 挺 多 吃完饭 逛一逛,4.0,P,0.2987757964089544,N
"占据长安街东单银街的绝佳地势,成就了高端大气上档次的东方新天地广场,从家步行十分钟到达,省去了停车等等一系列你麻烦,哈哈哈,七十年代的这里,是原来的东单菜市场,那时候小小的自己是被大人领着来,再往西走是儿童电影院和几个服装店,多久远的记忆了,时光飞逝很多年过去了,物是人非",占据 长安街 东单 银街 绝佳 地势 成就 高端 大气 上档次 东方新天地 广场 从家 步行 十分钟 到达 省去 停车 一系列 麻烦 哈哈哈 七十年代 东单 菜市场 小小的 大人 领着 往西 走 儿童 电影院 几个 服装店 多 久远 记忆 时光 飞逝 很多年 物是人非,1.0,P,0.9999999999374852,P
